KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p22+p31
a4=p11+p21+p31+n11
[Data]
f 一
ff 一下
fffs 一无可取
fffw 无可无不可
fffl 百无一用
ffft 万无一失
ffft 天下无敌
fffp 可丁可卯
fffx 可歌可泣
fffz 天下一家
fffb 天下无双
fffb 天下无难事
fffb 天下无难事，只怕有心人
ffda ；
ffda …
ffda 「」
ffda 『』
ffda —
ffda ！
ffda 、
ffda ？
ffda ˉ
ffda ˇ
ffda ¨
ffda 々
ffda ～
ffda ‖
ffda ∶
ffda ＂
ffda ｜
ffda “”
ffda ‘’
ffda 《》
ffda 〈〉
ffda 〔〕
ffda 【】
ffda 〖〗
ffda （）
ffda ［］
ffda ｛｝
ffda ．
ffda 。
ffda ，
ffda ︵
ffda ︶
ffda ︷
ffda ︸
ffda ︻
ffda ︼
ffdr 天干地支
ffdk 严正声明 ffdk 天无二日
ffdl ～
ffdl ﹏
ffdl ﹋
ffdl ﹌
ffdp 无一幸免
ffdv 一干二净
ffdn 
ffdn 
ffdn 
ffdn 
ffdn 
ffdn 
ffdn 
ffdn 
ffdn 
ffdn 
ffdn 
ffdn 
ffss 平平静静
ffse 百无聊赖
ffst 无可奉告
ffas 无可指责
ffaa 严刑拷打
ffar 无可救药
ffaj 无可挽回
ffak 无可挑剔
ffav 殊死搏斗
ffaz ℃
ffaz °
ffaz ℉
ffaz ㎡
ffaz ％
ffaz ‰
ffaz 〒
ffra А
ffra Б
ffra В
ffra Г
ffra Д
ffra Е
ffra Ж
ffra З
ffra И
ffra Й
ffra К
ffra Л
ffra М
ffra Н
ffra О
ffra П
ffra Р
ffra С
ffra Т
ffra У
ffra Ф
ffra Х
ffra Ц
ffra Ч
ffra Ш
ffra Щ
ffra Ъ
ffra Ы
ffra Ь
ffra Э
ffra Ю
ffra Я
ffra Ё
ffra á
ffrj 无形中
ffrt 天下苍生
ffry 死无葬身之地
ffro 死刑犯
ffrc 平型关
ffrb а
ffrb б
ffrb в
ffrb г
ffrb д
ffrb е
ffrb ж
ffrb з
ffrb и
ffrb й
ffrb к
ffrb л
ffrb м
ffrb н
ffrb о
ffrb п
ffrb р
ffrb с
ffrb т
ffrb у
ffrb ф
ffrb х
ffrb ц
ffrb ч
ffrb ш
ffrb щ
ffrb ъ
ffrb ы
ffrb ь
ffrb э
ffrb ю
ffrb я
ffrb ё
ffrb á
ffrm 一开始
ffef 天下本无事，庸人自扰之
ffeq ℃
ffeq °
ffeq ‰
ffeq ♂
ffeq ♀
ffeq §
ffeq №
ffeq ＃
ffeq ＆
ffeq ＠
ffeq ※
ffeq ＼
ffeq ＾
ffeq ˇ
ffeq ☆
ffeq ★
ffeq ○
ffeq ●
ffeq ◎
ffeq ◇
ffeq ◆
ffeq □
ffeq ■
ffeq △
ffeq ▲
ffeq ▼
ffeq ▽
ffeq ◢
ffeq ◣
ffeq ◤
ffeq ◥
ffeq 〓
ffeq ▓
ffeq ℡
ffeq ㈱
ffeq ㊣
ffeq ＿
ffeq ￣
ffeq ╬
ffeq ﹏
ffeq ℅
ffeq ˉ
ffeq ﹉
ffeq ﹊
ffeq ﹍
ffeq ﹎
ffeq ﹋
ffeq ﹌
ffeq ￠
ffeq D
ffeq é
ffeq è
ffeq ê
ffeq í
ffek 可可西里山
ffeg ‰
ffen 百无禁忌
ffwf 一天天
ffwf 天下太平
ffwa 天下大事
ffwk 无可厚非
ffwl 平顶山
ffwt 天下大乱
ffwt 万死不辞
ffwy 无可奈何
ffwy 无恶不作
ffwy 无可奈何花落去
ffwg 无可否认
ffqd ￥
ffqd ￥
ffqd ＄
ffqd ￡
ffqd €
ffqd ¤
ffqd ￠
ffqk 一天到晚
ffqk ▁
ffqk ▂
ffqk ▃
ffqk ▄
ffqk ▅
ffqk ▆
ffqk ▇
ffqk █
ffqk ▉
ffqk ▊
ffqk ▋
ffqk ▌
ffqk ▍
ffqk ▎
ffqk ▏
ffqk ▓
ffqk ▔
ffqk ▕
ffql 平武县
ffqb ＿
ffqb ￣
ffqb ˉ
ffqb ﹉
ffqb ﹊
ffqb ﹍
ffqb ﹎
ffh 亍
ffha 天下事
ffhh 一丁点
ffht 副政委
ffhn 一下子
ffhn 两下子
ffjj 一再嘱咐
ffjj 吞吞吐吐
ffji ァ
ffji ア
ffji ィ
ffji イ
ffji ゥ
ffji ウ
ffji ェ
ffji エ
ffji ォ
